# From https://planet4589.org/space/con/conlist.html
Constellation   State   Layer   SubShell    LayerName   Altitude    Inclination     No_of_planes    Sats_per_plane  Sats_on_stn     Sats_on_stn     Sats_off_stn    Sats_down   Total_Sats_launched Total_Sats_Planned       
SXODC   US  1   0   LEO-A_Shell_1_30_deg)  400     30.0    505     30  0   0   0   0   0   15165
SXODC   US  2   0   LEO-A_Shell_2_30_deg)  450     30.0    505     30  0   0   0   0   0   15165
SXODC   US  3   0   LEO-A_Shell_3_30_deg)  500     30.0    505     30  0   0   0   0   0   15165
SXODC   US  4   0   LEO-A_Shell_4_30_deg)  550     30.0    505     30  0   0   0   0   0   15165
SXODC   US  5   0   LEO-A_Shell_5_30_deg)  600     30.0    505     30  0   0   0   0   0   15165
SXODC   US  6   0   LEO-A_Shell_6_30_deg)  900     30.0    505     30  0   0   0   0   0   15165
SXODC   US  7   0   LEO-A_Shell_7_30_deg)  950     30.0    505     30  0   0   0   0   0   15165
SXODC   US  8   0   LEO-A_Shell_8_30_deg)  1000    30.0    505     30  0   0   0   0   0   15165
SXODC   US  9   0   LEO-A_Shell_9_30_deg)  1050    30.0    505     30  0   0   0   0   0   15165
SXODC   US  10  0   LEO-A_Shell_10_(30-deg)     1100    30.0    505     30  0   0   0   0   0   15165
SXODC   US  11  0   LEO-A_Shell_11_(30-deg)     1900    30.0    505     30  0   0   0   0   0   15170
SXODC   US  12  0   LEO-A_Shell_12_(30-deg)     1950    30.0    505     30  0   0   0   0   0   15170
SXODC   US  13  0   LEO-A_Shell_13_(30-deg)     2000    30.0    505     30  0   0   0   0   0   15170
SXODC   US  14  0   LEO-A_Shell_14_(30-deg)     2050    30.0    505     30  0   0   0   0   0   15170
SXODC   US  15  0   LEO-A_Shell_15_(30-deg)     2100    30.0    505     30  0   0   0   0   0   15170
SXODC   US  16  0   SSO_Shell_16_(97_deg)   400     97.4    1716    30  0   0   0   0   0   51500
SXODC   US  17  0   SSO_Shell_17_(97_deg)   450     97.4    1716    30  0   0   0   0   0   51500
SXODC   US  18  0   SSO_Shell_18_(97_deg)   500     97.4    1716    30  0   0   0   0   0   51500
SXODC   US  19  0   SSO_Shell_19_(97_deg)   550     97.4    1716    30  0   0   0   0   0   51500
SXODC   US  20  0   SSO_Shell_20_(97_deg)   600     97.4    1716    30  0   0   0   0   0   51500
SXODC   US  21  0   SSO_Shell_21_(99_deg)   900     99.5    1716    30  0   0   0   0   0   51500
SXODC   US  22  0   SSO_Shell_22_(99_deg)   950     99.5    1716    30  0   0   0   0   0   51500
SXODC   US  23  0   SSO_Shell_23_(99_deg)   1000    99.5    1716    30  0   0   0   0   0   51500
SXODC   US  24  0   SSO_Shell_24_(99_deg)   1050    99.5    1716    30  0   0   0   0   0   51500
SXODC   US  25  0   SSO_Shell_25_(99_deg)   1100    99.5    1716    30  0   0   0   0   0   51500
SXODC   US  26  0   SSO_Shell_26_(104_deg)  1900    104.9   1716    30  0   0   0   0   0   51500
SXODC   US  27  0   SSO_Shell_27_(104_deg)  1950    104.9   1716    30  0   0   0   0   0   51500
SXODC   US  28  0   SSO_Shell_28_(104_deg)  2000    104.9   1716    30  0   0   0   0   0   51500
SXODC   US  29  0   SSO_Shell_29_(104_deg)  2050    104.9   1716    30  0   0   0   0   0   51500
SXODC   US  30  0   SSO_Shell_30_(104_deg)  2100    104.9   1716    30  0   0   0   0   0   51500
